brand,model,date,km_driven,transmission,fuel,type,seats,price,url
Hyundai,Tucson,2009,11223,Manual,Gasoline,SUV / Cross over,5,245.000.000,https://xe.chotot.com/mua-ban-oto-huyen-nghi-xuan-ha-tinh/91448515.htm
Toyota,Corolla,2000,80000,Manual,Gasoline,Sedan,5,195.000.000,https://xe.chotot.com/mua-ban-oto-quan-binh-tan-tp-ho-chi-minh/91254201.htm
Hyundai,Accent,2012,6223,Automatic,Gasoline,Sedan,5,335.000.000,https://xe.chotot.com/mua-ban-oto-huyen-nghi-xuan-ha-tinh/91448427.htm
Kia,Sorento,2017,58769,Automatic,Gasoline,SUV / Cross over,7,710.000.000,https://xe.chotot.com/mua-ban-oto-quan-cau-giay-ha-noi/75151686.htm
Toyota,Innova,2008,127534,Automatic,Gasoline,Minivan (MPV),8,323.000.000,https://xe.chotot.com/mua-ban-oto-quan-tan-binh-tp-ho-chi-minh/91448389.htm
Kia,Cerato,2021,1000,Automatic,Gasoline,Sedan,5,578.000.000,https://xe.chotot.com/mua-ban-oto-quan-thu-duc-tp-ho-chi-minh/91448384.htm
Kia,K3,2015,6,Automatic,Gasoline,Sedan,5,442.000.000,https://xe.chotot.com/mua-ban-oto-quan-nam-tu-liem-ha-noi/91448377.htm
Ford,Ranger,2021,5000,Automatic,Diesel,Pick-up (bán tải),5,1.279.000.000,https://xe.chotot.com/mua-ban-oto-quan-long-bien-ha-noi/87735613.htm
Mercedes Benz,C Class,2018,30000,Automatic,Gasoline,Sedan,5,1.445.000.000,https://xe.chotot.com/mua-ban-oto-quan-cau-giay-ha-noi/91448601.htm
Ford,Laser,2002,200000,Manual,Gasoline,Sedan,5,165.000.000,https://xe.chotot.com/mua-ban-oto-huyen-vung-liem-vinh-long/89862753.htm
Hyundai,Tucson,2009,11223,Manual,Gasoline,SUV / Cross over,5,245.000.000,https://xe.chotot.com/mua-ban-oto-huyen-nghi-xuan-ha-tinh/91448515.htm
Toyota,Corolla,2000,80000,Manual,Gasoline,Sedan,5,195.000.000,https://xe.chotot.com/mua-ban-oto-quan-binh-tan-tp-ho-chi-minh/91254201.htm
Hyundai,Accent,2012,6223,Automatic,Gasoline,Sedan,5,335.000.000,https://xe.chotot.com/mua-ban-oto-huyen-nghi-xuan-ha-tinh/91448427.htm
Kia,Sorento,2017,58769,Automatic,Gasoline,SUV / Cross over,7,710.000.000,https://xe.chotot.com/mua-ban-oto-quan-cau-giay-ha-noi/75151686.htm
Toyota,Innova,2008,127534,Automatic,Gasoline,Minivan (MPV),8,323.000.000,https://xe.chotot.com/mua-ban-oto-quan-tan-binh-tp-ho-chi-minh/91448389.htm
Hãng khác,Dòng khác,2010,16869,Manual,Gasoline,Coupe (2 cửa),2,69.000.000,https://xe.chotot.com/mua-ban-oto-huyen-ham-thuan-bac-binh-thuan/91448652.htm
