price,source_url,seats,name,year,typeOfCar,condition,origin,km_driven,city,transmission,fuels
486000000,https://oto.com.vn/mua-ban-xe-toyota-fortuner-hcm/ban-o-to-mt-nam-san-xuat-2009-mau-bac-aidxc9068767,7," Toyota Fortuner 2.4 MT 4x2 2009 - 486 triệu
            ", 2009, SUV, Đã qua sử dụng, Trong nước, 167.000 km, Tp.HCM, Số tay, Diesel
450000000,https://oto.com.vn/mua-ban-xe-toyota-corolla-altis-ha-noi/xe-18at-nam-2013-mau-den-aidxc9037390,5," Toyota Corolla Altis 1.8AT 2013 - 450 triệu
            ", 2013, Sedan, Đã qua sử dụng, Trong nước, 72.000 km, Hà Nội, Số tự động, Xăng
227000000,https://oto.com.vn/mua-ban-xe-toyota-corolla-altis-hcm/can-ban-xe-18-mt-nam-san-xuat-2004-mau-den-aidxc9068638,5," Toyota Corolla Altis 1.8G MT 2004 - 227 triệu
            ", 2004, Sedan, Đã qua sử dụng, Trong nước, 200.000 km, Tp.HCM, Số tay, Xăng
38000000,https://oto.com.vn/mua-ban-xe-toyota-corona-hoa-binh/ban-xe-13-san-xuat-nam-1990-mau-xam-xe-nhap-gia-38tr-aidxc9800936,5," Toyota Corona 1990 - 38 triệu
            ", 1990, Sedan, Đã qua sử dụng, Nhập khẩu, 45.678 km, Hòa Bình, Số tay, Xăng
475000000,https://oto.com.vn/mua-ban-xe-toyota-innova-ha-noi/ban-o-to-20e-nam-2017-mau-xam-475-trieu-aidxc9068542,7," Toyota Innova 2.0E 2017 - 475 triệu
            ", 2017, MPV, Đã qua sử dụng, Trong nước, 60.000 km, Hà Nội, Số tay, Xăng
419000000,https://oto.com.vn/mua-ban-xe-toyota-innova-an-giang/can-ban-gap-20g-san-xuat-2015-mau-bac-aidxc9839963,8," Toyota Innova 2.0G 2015 - 419 triệu
            ", 2015, MPV, Đã qua sử dụng, Trong nước, 89.000 km, An Giang, Số tay, Xăng
4550000000,https://oto.com.vn/mua-ban-xe-toyota-avanza-binh-phuoc/ban-15at-nam-2018-mau-bac-nhap-khau-con-moi-aidxc9840019,7," Toyota Avanza 1.5 AT 2018 - 4 tỉ 550 triệu
            ", 2018, MPV, Đã qua sử dụng, Nhập khẩu, 50.000 km, Bình Phước, Số tự động, Xăng
205000000,https://oto.com.vn/mua-ban-xe-toyota-vios-dak-lak/ban-xe-13mt-nam-san-xuat-2014-mau-trang-aidxc9800637,5," Toyota Vios 1.3J MT 2014 - 205 triệu
            ", 2014, Sedan, Đã qua sử dụng, Trong nước, 80.000 km, Đắk Lắk, Số tay, Xăng
960000000,https://oto.com.vn/mua-ban-xe-toyota-fortuner-hcm/ban-27v-nam-2020-mau-xam-aidxc9800805,7," Toyota Fortuner 2.7 V 4X2 AT 2020 - 960 triệu
            ", 2020, SUV, Đã qua sử dụng, Trong nước, 18.181 km, Tp.HCM, Số tự động, Xăng
300000000,https://oto.com.vn/mua-ban-xe-toyota-innova-hcm/can-ban-20e-nam-2009-mau-bac-gia-300tr-aidxc9810674,8," Toyota Innova 2.0E 2009 - 300 triệu
            ", 2009, MPV, Đã qua sử dụng, Trong nước, 128.000 km, Tp.HCM, Số tay, Xăng
