name,brand,source_url,type,origin,km_driven,external_color,seats,engine_capacity,fuels,transmission,wheel_drive,price,year
KIA Rio,,https://www.sanxehot.vn/mua-ban-xe/kia-rio-14at-2015-25692.html,Hatchback,Nhập khẩu,30000,Trắng,,1.4,Xăng,Tự động,,559000000,2015
Hyundai i10,,https://www.sanxehot.vn/mua-ban-xe/hyundai-i10-10mt-2015-25690.html,Hatchback,Nhập khẩu,52000,Đỏ,,1.0,Xăng,Số sàn,,338000000,2015
Honda Civic,,https://www.sanxehot.vn/mua-ban-xe/honda-civic-20at-2014-25689.html,Sedan,Lắp ráp trong nước,51000,Trắng,,2.0,Xăng,Tự động,,688000000,2014
Kia Morning,,https://www.sanxehot.vn/mua-ban-xe/kia-morning-10mt-2007-25688.html,Hatchback,Nhập khẩu,250000,Bạc,,1.0,Xăng,Số sàn,,158000000,2007
Hyundai Getz,,https://www.sanxehot.vn/mua-ban-xe/hyundai-getz-11mt-2009-25686.html,Sedan,Lắp ráp trong nước,80000,Xanh da trời,,1.1,Xăng,Số sàn,,260000000,2009
Toyota Vios,,https://www.sanxehot.vn/mua-ban-xe/toyota-vios-15at-2011-25683.html,Sedan,Lắp ráp trong nước,60000,Bạc,,1.5,Xăng,Tự động,,365000000,2011
KIA Sorento,,https://www.sanxehot.vn/mua-ban-xe/kia-sorento-24at-2014-25682.html,SUV 7 chỗ,Lắp ráp trong nước,26000,Đen,,2.4,Xăng,Tự động,,810000000,2014
Chevrolet Spark,,https://www.sanxehot.vn/mua-ban-xe/chevrolet-spark-12mt-2010-25664.html,Hatchback,Lắp ráp trong nước,160000,Đỏ,,1.2,Xăng,Số sàn,,143000000,2010
Nissan Teana,,https://www.sanxehot.vn/mua-ban-xe/nissan-teana-20at-2010-25663.html,Sedan,Nhập khẩu,70000,Đen,,2.0,Xăng,Tự động,,610000000,2010
Kia Morning,,https://www.sanxehot.vn/mua-ban-xe/kia-morning-12at-2009-25662.html,Hatchback,Lắp ráp trong nước,50000,Bạc,,1.2AT,Xăng,Tự động,,285000000,2009
Kia Morning,,https://www.sanxehot.vn/mua-ban-xe/kia-morning-11at-2011-25657.html,Hatchback,Lắp ráp trong nước,50000,Ghi xám,,1.1,Xăng,Tự động,,295000000,2011
Hyundai Santafe,,https://www.sanxehot.vn/mua-ban-xe/hyundai-santafe-24at-2015-25656.html,SUV 5 chỗ,Lắp ráp trong nước,28000,Đen,,2.4,Diesel,Tự động,,1088000000,2015
